ID_nest	species1_morpho	genus1_morpho	family1_morpho	order1_morpho	species2_morpho	genus2_morpho	family2_morpho	order2_morpho	species1_visual	genus1_visual	family1_visual	order1_visual	species2_visual	genus2_visual	family2_visual	order2_visual
HAc_A.17	s:Trypoxylon_figulus	g:Trypoxylon	f:Crabronidae	o:Hymenoptera	NA	NA	NA	NA	s:Melittobia_acasta	g:Melittobia	f:Eulophidae	o:Hymenoptera	NA	NA	NA	NA
HAc_B.12	s:Trypoxylon_figulus	g:Trypoxylon	f:Crabronidae	o:Hymenoptera	NA	NA	NA	NA	s:Melittobia_acasta	g:Melittobia	f:Eulophidae	o:Hymenoptera	NA	NA	NA	NA
HAc_B.44	s:Trypoxylon_figulus	g:Trypoxylon	f:Crabronidae	o:Hymenoptera	s:Trichrysis_cyanea	g:Trichrysis	f:Chrysididae	o:Hymenoptera	s:Melittobia_acasta	g:Melittobia	f:Eulophidae	o:Hymenoptera	NA	NA	NA	NA
HAc_B.47	NA	NA	NA	NA	NA	NA	NA	NA	s:Melittobia_acasta	g:Melittobia	f:Eulophidae	o:Hymenoptera	NA	NA	NA	NA
HAc_B.5	NA	NA	NA	NA	NA	NA	NA	NA	s:Melittobia_acasta	g:Melittobia	f:Eulophidae	o:Hymenoptera	NA	NA	NA	NA
HAc_B.6	NA	NA	NA	NA	NA	NA	NA	NA	s:Melittobia_acasta	g:Melittobia	f:Eulophidae	o:Hymenoptera	NA	NA	NA	NA
HAe_A.30	NA	NA	NA	NA	NA	NA	NA	NA	s:Melittobia_acasta	g:Melittobia	f:Eulophidae	o:Hymenoptera	NA	NA	NA	NA
HAe_B.21	NA	NA	NA	NA	NA	NA	NA	NA	s:Melittobia_acasta	g:Melittobia	f:Eulophidae	o:Hymenoptera	NA	NA	NA	NA
HMb_A.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
HMc_A.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
HMc_A.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
HMc_B.4	s:Hoplitis_leucomelana	g:Hoplitis	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
HMe_B.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RB1_A.6	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RB3_A.1	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RB3_A.13	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RB3_A.15	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RB3_A.16	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RB3_A.20	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RB3_A.22	s:Trypoxylon_figulus	g:Trypoxylon	f:Crabronidae	o:Hymenoptera	s:Trichrysis_cyanea	g:Trichrysis	f:Chrysididae	o:Hymenoptera	NA	NA	f:Spheciformes	o:Hymenoptera	NA	NA	NA	NA
RB3_A.25	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RB3_A.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RB3_A.40	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	NA	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RB3_A.41	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RB3_A.6	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RB3_B.28	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RB3_B.43	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RB3_B.67	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RB4_A.1	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RB4_A.15	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RB4_A.29	s:Trichrysis_cyanea	g:Trichrysis	f:Chrysididae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	f:Spheciformes	o:Hymenoptera	NA	NA	NA	NA
RB4_A.3	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RB4_A.4	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RB4_B.3	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RBb_A.11	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RBb_A.17_1	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RBb_A.30	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	s:Monodontomerus_obscurus	g:Monodontomerus	f:Torymidae	o:Hymenoptera	NA	NA	NA	NA
RBb_A.31	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	s:Monodontomerus_obscurus	g:Monodontomerus	f:Torymidae	o:Hymenoptera	NA	NA	NA	NA
RBb_A.38	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
RBb_A.46	s:Osmia_bicornis	g:Osmia	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	s:Cacoxenus_indagator	g:Cacoxenus	f:Drosophilidae	o:Diptera	NA	NA	NA	o:Hymenoptera
